,Year,Comm. Code,Weight (kg),Quantity
9103,2022,292423,,
9105,2022,292425,,
9108,2022,292429,6509609.071,6509609.071
9110,2022,292511,75993.637,75993.637
9111,2022,292519,1405079.765,1405079.765
9114,2022,292529,6047404.275,6047404.275
9115,2022,292610,,
9118,2022,292620,788860.249,788860.249
9119,2022,292640,6.0,6.0
9121,2022,292690,283122123.68,283122123.68
9124,2022,292700,1666414.228,1666414.228
9125,2022,292800,4443900.454,4443900.454
9127,2022,292910,105436938.326,105436938.326
9129,2022,292990,252702.557,252702.557
9131,2022,293010,196.328,196.328
9134,2022,293020,347733.878,347733.878
9136,2022,293030,72011.029,72011.029
9137,2022,293040,187189300.78,187189300.78
9139,2022,293060,13.222,13.222
9142,2022,293090,77152887.443,77152887.443
9148,2022,293146,6270.0,6270.0
9151,2022,293149,2377585.261,2377585.261
9152,2022,293154,,
9155,2022,293159,107431.433,107431.433
9157,2022,293190,16855314.024,16855314.024
9158,2022,293211,12912278.109,12912278.109
9161,2022,293212,26610.318,26610.318
9163,2022,293213,90692.025,90692.025
9164,2022,293214,162475.942,162475.942
9166,2022,293219,570148.836,570148.836
9169,2022,293220,3583801.651,3583801.651
9170,2022,293293,12.3,12.3
9172,2022,293294,70090.0,70090.0
9173,2022,293295,,
9175,2022,293296,988000.0,988000.0
9176,2022,293299,5390456.74,5390456.74
9178,2022,293311,4497.129,4497.129
9180,2022,293319,736210.605,736210.605
9182,2022,293321,294591.905,294591.905
9185,2022,293329,2955110.276,2955110.276
9187,2022,293331,5885545.89,5885545.89
9188,2022,293332,353067.759,353067.759
9190,2022,293333,,
9192,2022,293334,,
9194,2022,293336,,
9195,2022,293339,12694946.481,12694946.481
9197,2022,293341,,
9199,2022,293349,1250283.452,1250283.452
9200,2022,293352,55.265,55.265
9202,2022,293353,74.546,74.546
9205,2022,293354,129.449,129.449
9206,2022,293355,,
9207,2022,293359,9472292.285,9472292.285
9210,2022,293361,379550.037,379550.037
9211,2022,293369,10888365.632,10888365.632
9214,2022,293371,85586636.173,85586636.173
9215,2022,293372,,
9217,2022,293379,15057567.699,15057567.699
9218,2022,293391,16.944,16.944
9221,2022,293399,22913928.347,22913928.347
9224,2022,293410,428149.441,428149.441
9226,2022,293420,,
9228,2022,293430,1843903.378,1843903.378
9229,2022,293499,15867997.255,15867997.255
9231,2022,293550,,
9233,2022,293590,3675950.678,3675950.678
9235,2022,293621,1155974.653,1155974.653
9237,2022,293622,22512.988,22512.988
9238,2022,293623,470313.257,470313.257
9240,2022,293624,698768.011,698768.011
9242,2022,293625,22243.537,22243.537
9245,2022,293626,26125.153,26125.153
9246,2022,293627,77206.708,77206.708
9249,2022,293628,2313897.48,2313897.48
9250,2022,293629,1454863.873,1454863.873
9252,2022,293690,84453.869,84453.869
9255,2022,293711,4.988,4.988
9257,2022,293712,4874.351,4874.351
9258,2022,293719,1847.829,1847.829
9260,2022,293721,113.028,113.028
9262,2022,293722,419.167,419.167
9264,2022,293723,2461.362,2461.362
9267,2022,293729,5632.713,5632.713
9269,2022,293750,1194.07,1194.07
9270,2022,293790,197.002,197.002
9273,2022,293810,67161.116,67161.116
9275,2022,293890,8016708.295,8016708.295
9276,2022,293911,3011.884,3011.884
9278,2022,293919,11946.347,11946.347
9280,2022,293920,22644.0,22644.0
9283,2022,293930,24.797,24.797
9286,2022,293945,,
